source,relation,target
Parcours_Genie_Civil_et_Architecture,enseigne,Matiere_Technologie_des_batiments
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,enseigne,Matiere_JavaScript
Etudiant_P00564,prefere,Matiere_Arts
Parcours_Agriculture_et_Elevage,enseigne,Matiere_Culture_de_rentes
Parcours_Finances_et_Comptabilite,prepareA,Metier_Auditeur_financier_interne_externe
Etudiant_P01210,estOrienteVers,Parcours_Droit_et_Techniques_Juridiques_des_Affaires
Parcours_Genie_Civil_et_Architecture,prepareA,Metier_Architecte_junior_Collaborateur_d_architecte
Parcours_Finances_et_Comptabilite,prepareA,Metier_Comptable_Chef_Comptable_Expert_comptable_apres_stage
Parcours_Tourisme_Environnement_et_Hotellerie,enseigne,Matiere_Management
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Immunologie
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,developpe,Competence_Gestion_de_projets_de_communication_digitale_et_PAO
Etudiant_P00452,possede,Competence_autonomie
Etudiant_P01555,possede,Competence_sens_de_l_observation
Etudiant_P01207,estOrienteVers,Parcours_Finances_et_Comptabilite
Parcours_Economie_et_Management_de_Projet,developpe,Competence_Management_d_equipe_et_planification_strategique
Etudiant_P00014,possede,Competence_perseverance
Etudiant_P01210,prefere,Matiere_Francais
Competence_Ethnopharmacologie_Phytochimie,estRequisePour,Metier_Chercheur_en_phyto_medicaments
Parcours_Electromecanique_et_Informatique_Industrielle,enseigne,Matiere_Mecanique_rationnelle
Parcours_Industries_Chimiques_Minieres_et_Petrolieres,prepareA,Metier_Technicien_superieur_Ingenieur_de_laboratoire_d_analyses
Competence_Transformation_agroalimentaire,estRequisePour,Metier_Ingenieur_de_production
Etudiant_P00697,estOrienteVers,Parcours_Industries_Agroalimentaires
Etudiant_P00477,possede,Competence_sens_de_l_observation
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_Electronique
Competence_Agroecologie_Agriculture_Bio,estRequisePour,Metier_Consultant_environnemental
Competence_Gestion_financiere_Analyse,estRequisePour,Metier_Gestionnaire_administratif_et_financier
Parcours_Agriculture_et_Elevage,prepareA,Metier_Conseiller_agricole_Technicien_de_vulgarisation
Etudiant_P00502,prefere,Matiere_Mathematiques
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,prepareA,Metier_Technicien_ou_Ingenieur_de_laboratoire_medical_industriel
Parcours_Droit_et_Techniques_Juridiques_des_Affaires,necessite,Prerequis_Baccalaureat_serie_OSE
Parcours_Industries_Agroalimentaires,prepareA,Metier_Charge_de_Recherche_et_Developpement_R_D_alimentaire
Etudiant_P01035,aCentreInteret,Interet_Economie
Parcours_Finances_et_Comptabilite,prepareA,Metier_Analyste_financier_en_banque_ou_cabinet_d_audit
Parcours_Genie_Civil_et_Architecture,enseigne,Matiere_Electricite_des_batiments
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,enseigne,Matiere_Unified_Modeling_Language
Etudiant_P01430,prefere,Matiere_Informatique
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_Cryptographie
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Bio_Informatique
Etudiant_P01331,prefere,Matiere_Anglais
Etudiant_P01035,prefere,Matiere_Malgache
Etudiant_P01310,prefere,Matiere_Mathematiques
Parcours_Industries_Agroalimentaires,enseigne,Matiere_Thermo_physique
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,enseigne,Matiere_Structure_de_donnees
Parcours_Droit_et_Techniques_Juridiques_des_Affaires,enseigne,Matiere_Contrat_d_entreprise
Parcours_Agriculture_et_Elevage,enseigne,Matiere_Methodologie_des_recherches_experimentales
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,enseigne,Matiere_Theorie_des_jeux
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,prepareA,Metier_Developpeur_Full_Stack_Web_Mobile
Etudiant_P01517,prefere,Matiere_SVT
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,prepareA,Metier_Expert_en_systemes_embarques_et_IoT
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,enseigne,Matiere_Reseaux_informatiques
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_JavaScript
Parcours_Genie_Civil_et_Architecture,enseigne,Matiere_Dessin
Etudiant_P00062,prefere,Matiere_Francais
Etudiant_P01210,possede,Competence_autonomie
Parcours_Industries_Agroalimentaires,enseigne,Matiere_Genie_fermentaire
Etudiant_P00286,prefere,Matiere_Philosophie
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Plantes_medicales
Etudiant_P01310,prefere,Matiere_Francais
Parcours_Industries_Agroalimentaires,enseigne,Matiere_Bacteriologie
Etudiant_P00860,possede,Competence_esprit_d_analyse
Parcours_Commerce_et_Administration_des_Affaires,enseigne,Matiere_Macroeconomie
Etudiant_P00192,possede,Competence_esprit_d_analyse
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,enseigne,Matiere_GPI
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,enseigne,Matiere_Codage
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,enseigne,Matiere_Cybersecurite
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_Maintenance_des_Systemes_Informatiques_Hardware
Etudiant_P01310,possede,Competence_esprit_d_analyse
Parcours_Industries_Agroalimentaires,enseigne,Matiere_Genetique
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,enseigne,Matiere_GLCIA
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,enseigne,Matiere_Base_de_Donnees
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,prepareA,Metier_Administrateur_de_bases_de_donnees
Competence_Robotique_et_Domotique,estRequisePour,Metier_Specialiste_Robotique
Parcours_Agriculture_et_Elevage,enseigne,Matiere_Bacteriologie
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Enzymologie
Etudiant_P00570,possede,Competence_autonomie
Competence_Culture_industrielle_de_rente,estRequisePour,Metier_Manager_de_filiere_agricole
Parcours_Commerce_et_Administration_des_Affaires,enseigne,Matiere_Politique_economique
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Atomistique
Parcours_Industries_Agroalimentaires,developpe,Competence_Maitrise_de_la_securite_sanitaire_et_normes_qualite_HACCP_ISO
Parcours_Agriculture_et_Elevage,enseigne,Matiere_Genetique
Parcours_Industries_Chimiques_Minieres_et_Petrolieres,developpe,Competence_Exploitation_extraction_et_raffinage_des_ressources_Mines_Petrole
Parcours_Industries_Chimiques_Minieres_et_Petrolieres,prepareA,Metier_Expert_en_controle_qualite_dans_l_industrie_lourde
Etudiant_P01517,prefere,Matiere_Malgache
Competence_Organisation_des_entreprises,estRequisePour,Metier_Manager_d_entreprise
Etudiant_P00408,possede,Competence_rigueur
Parcours_Finances_et_Comptabilite,enseigne,Matiere_Neuro_marketing
Etudiant_P00229,prefere,Matiere_Physique_Chimie
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,prepareA,Metier_Responsable_Business_Intelligence
Etudiant_P01509,possede,Competence_autonomie
Etudiant_P00014,prefere,Matiere_Mathematiques
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,developpe,Competence_Gestion_stockage_et_traitement_de_donnees_massives_Big_Data
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_Maintenance_des_Systemes_Informatiques
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,enseigne,Matiere_Publication_Assistee_par_Ordinateur
Parcours_Genie_Civil_et_Architecture,enseigne,Matiere_Hydraulique_routiere
Competence_Biochimie_Microbiologie_medicale,estRequisePour,Metier_Ingenieur_de_laboratoire
Parcours_Finances_et_Comptabilite,enseigne,Matiere_Marketing_international
Etudiant_P01117,prefere,Matiere_Philosophie
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,enseigne,Matiere_Cryptographie
Parcours_Agriculture_et_Elevage,enseigne,Matiere_Agriculture_biologique
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_Structure_de_donnees
Etudiant_P01035,prefere,Matiere_Economie
Competence_Normes_HACCP_Microbiologie,estRequisePour,Metier_Responsable_Qualite
Parcours_Electromecanique_et_Informatique_Industrielle,enseigne,Matiere_Mecanique_appliquee
Parcours_Commerce_et_Administration_des_Affaires,prepareA,Metier_Analyste_de_marche_Consultant_en_strategie_commerciale
Parcours_Agriculture_et_Elevage,developpe,Competence_Mise_en_uvre_de_pratiques_d_agroecologie_et_d_agriculture_biologique
Etudiant_P01517,possede,Competence_sens_de_l_organisation
Etudiant_P01035,estOrienteVers,Parcours_Economie_et_Management_de_Projet
Parcours_Genie_Civil_et_Architecture,prepareA,Metier_Ingenieur_en_Bureau_d_Etudes_Structure_Dimensionnement
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,enseigne,Matiere_JavaScript
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,prepareA,Metier_Statisticien_financier_Actuaire
Parcours_Tourisme_Environnement_et_Hotellerie,appartientAMention,Mention_Tourisme
Etudiant_P00210,possede,Competence_rigueur
Parcours_Industries_Chimiques_Minieres_et_Petrolieres,enseigne,Matiere_Elasticite_et_plasticite
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_GPI
Parcours_Droit_et_Techniques_Juridiques_des_Affaires,enseigne,Matiere_Droit_des_suretes
Etudiant_P01035,possede,Competence_sens_de_l_observation
Etudiant_P01233,aCentreInteret,Interet_Animaux
Parcours_Tourisme_Environnement_et_Hotellerie,necessite,Prerequis_Baccalaureat_serie_L
Competence_Developpement_IA_Deep_Learning,estRequisePour,Metier_Ingenieur_IA_Consultant_IA
Etudiant_P00458,prefere,Matiere_SVT
Etudiant_P01430,aCentreInteret,Interet_Musique
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_GLCIA
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,necessite,Prerequis_Baccalaureat_serie_S
Etudiant_P00192,aCentreInteret,Interet_Sport
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_Base_de_Donnees
Parcours_Commerce_et_Administration_des_Affaires,necessite,Prerequis_Baccalaureat_serie_OSE
Parcours_Industries_Agroalimentaires,enseigne,Matiere_Additifs_alimentaires
Etudiant_P00564,possede,Competence_autonomie
Etudiant_P00066,estOrienteVers,Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I
Parcours_Industries_Chimiques_Minieres_et_Petrolieres,enseigne,Matiere_Mecanique_des_fluides
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,prepareA,Metier_Ingenieur_en_telecommunications
Etudiant_P00210,aCentreInteret,Interet_Entrepreneuriat
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,enseigne,Matiere_Pascal
Etudiant_P00055,prefere,Matiere_Malgache
Etudiant_P01233,estOrienteVers,Parcours_Agriculture_et_Elevage
Etudiant_P00570,prefere,Matiere_Mathematiques
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,enseigne,Matiere_Son
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,enseigne,Matiere_Informatique_Scientifique
Parcours_Commerce_et_Administration_des_Affaires,developpe,Competence_Analyse_des_marches_et_economie_monetaire_internationale
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,enseigne,Matiere_Merise
Parcours_Economie_et_Management_de_Projet,developpe,Competence_Analyse_socio_economique_et_management_de_projet_de_developpement
Parcours_Tourisme_Environnement_et_Hotellerie,enseigne,Matiere_Francais
Parcours_Industries_Agroalimentaires,appartientAMention,Mention_Biotechnologie_et_Agronomie
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,enseigne,Matiere_Codage
Parcours_Industries_Chimiques_Minieres_et_Petrolieres,enseigne,Matiere_Geometrie_analytique
Parcours_Agriculture_et_Elevage,necessite,Prerequis_Baccalaureat_serie_A2
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,enseigne,Matiere_Algorithme
Parcours_Industries_Agroalimentaires,enseigne,Matiere_Biologie_Vegetale
Parcours_Electromecanique_et_Informatique_Industrielle,developpe,Competence_Maintenance_industrielle_pluridisciplinaire_mecanique_electrique_froid
Etudiant_P01519,possede,Competence_creativite
Etudiant_P00014,prefere,Matiere_Physique_Chimie
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,enseigne,Matiere_GLCIA
Parcours_Commerce_et_Administration_des_Affaires,appartientAMention,Mention_Droit_et_Techniques_des_Affaires
Parcours_Droit_et_Techniques_Juridiques_des_Affaires,prepareA,Metier_Assistant_juridique_en_cabinet_d_avocats_ou_d_huissiers
Parcours_Tourisme_Environnement_et_Hotellerie,enseigne,Matiere_Techno_Restau
Parcours_Finances_et_Comptabilite,enseigne,Matiere_Informatique
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,enseigne,Matiere_Structure_de_donnees
Parcours_Electromecanique_et_Informatique_Industrielle,enseigne,Matiere_Maintenance_avion
Parcours_Industries_Agroalimentaires,necessite,Prerequis_Baccalaureat_serie_C
Parcours_Industries_Chimiques_Minieres_et_Petrolieres,developpe,Competence_Analyse_physico_chimique_et_controle_qualite_en_laboratoire
Etudiant_P01210,prefere,Matiere_Anglais
Parcours_Agriculture_et_Elevage,appartientAMention,Mention_Biotechnologie_et_Agronomie
Parcours_Economie_et_Management_de_Projet,necessite,Prerequis_Baccalaureat_serie_A1
Etudiant_P01207,prefere,Matiere_Mathematiques
Parcours_Agriculture_et_Elevage,enseigne,Matiere_Biologie_Vegetale
Etudiant_P01210,aCentreInteret,Interet_Gestion
Etudiant_P00448,prefere,Matiere_Francais
Etudiant_P01467,possede,Competence_autonomie
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,enseigne,Matiere_Informatique_Decisionnelle
Parcours_Economie_et_Management_de_Projet,enseigne,Matiere_Gestion_de_projet_de_developpement
Etudiant_P00458,possede,Competence_esprit_d_equipe
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Biochimie_medicale
Parcours_Industries_Agroalimentaires,enseigne,Matiere_Physiologie_Animale
Parcours_Industries_Chimiques_Minieres_et_Petrolieres,enseigne,Matiere_Droit_minier
Parcours_Agriculture_et_Elevage,necessite,Prerequis_Baccalaureat_serie_C
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,enseigne,Matiere_GPI
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,enseigne,Matiere_C
Parcours_Industries_Chimiques_Minieres_et_Petrolieres,enseigne,Matiere_Petrochimie
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,developpe,Competence_Analyse_phytochimique_et_valorisation_scientifique_des_plantes_medicinales
Etudiant_P01519,aCentreInteret,Interet_Programmation
Parcours_Genie_Civil_et_Architecture,enseigne,Matiere_Fondation
Parcours_Tourisme_Environnement_et_Hotellerie,prepareA,Metier_Chef_de_produit_touristique_Concepteur_de_circuits
Parcours_Industries_Chimiques_Minieres_et_Petrolieres,necessite,Prerequis_Baccalaureat_serie_S
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,enseigne,Matiere_Base_de_Donnees
Competence_Ingenierie_hydraulique_routiere,estRequisePour,Metier_Ingenieur_d_infrastructures
Parcours_Finances_et_Comptabilite,enseigne,Matiere_Economie_mathematique
Parcours_Tourisme_Environnement_et_Hotellerie,necessite,Prerequis_Baccalaureat_serie_A2
Parcours_Agriculture_et_Elevage,enseigne,Matiere_Physiologie_Animale
Parcours_Finances_et_Comptabilite,prepareA,Metier_Gestionnaire_de_tresorerie_Tresorier_d_entreprise
Competence_Technique_bancaire_Tresorerie,estRequisePour,Metier_Tresorier_d_entreprise
Parcours_Finances_et_Comptabilite,developpe,Competence_Expertise_en_comptabilite_generale_analytique_et_financiere
Parcours_Droit_et_Techniques_Juridiques_des_Affaires,developpe,Competence_Veille_reglementaire_et_securisation_contractuelle_des_affaires
Etudiant_P00502,possede,Competence_sens_de_l_observation
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Pharmacologie_moleculaire_et_cellulaire
Etudiant_P00570,aSerieBac,Prerequis_Baccalaureat_serie_A2
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_Pascal
Etudiant_P01210,aSerieBac,Prerequis_Baccalaureat_serie_C
Etudiant_P00286,possede,Competence_autonomie
Etudiant_P01150,possede,Competence_aisance_relationnelle
Etudiant_P01386,prefere,Matiere_Malgache
Etudiant_P00052,aSerieBac,Prerequis_Baccalaureat_serie_D
Parcours_Finances_et_Comptabilite,enseigne,Matiere_Analyse_financiere
Competence_Droit_administratif_Constitutionnel,estRequisePour,Metier_Juriste_en_administration_publique
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,enseigne,Matiere_Travail_Audiovisuel
Parcours_Electromecanique_et_Informatique_Industrielle,enseigne,Matiere_Electricite
Parcours_Agriculture_et_Elevage,enseigne,Matiere_Hydrobiologie
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,developpe,Competence_Analyse_statistique_complexe_et_probabilites_appliquees
Etudiant_P00062,prefere,Matiere_Anglais
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_Merise
Etudiant_P00408,prefere,Matiere_Histoire_Geo
Parcours_Industries_Agroalimentaires,enseigne,Matiere_Microbiologie
Parcours_Electromecanique_et_Informatique_Industrielle,developpe,Competence_Conception_assistee_par_ordinateur_AutoCAD_et_dimensionnement_mecanique
Etudiant_P01233,prefere,Matiere_SVT
Parcours_Genie_Civil_et_Architecture,enseigne,Matiere_Port
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,developpe,Competence_Traitement_du_signal_automatique_et_robotique_industrielle
Etudiant_P01310,prefere,Matiere_Anglais
Etudiant_P01210,prefere,Matiere_Arts
Parcours_Agriculture_et_Elevage,enseigne,Matiere_Hydrologie_appliquee
Etudiant_P00570,prefere,Matiere_Physique_Chimie
Etudiant_P00229,aCentreInteret,Interet_Actualite_et_politique
Etudiant_P00210,prefere,Matiere_Arts
Parcours_Genie_Civil_et_Architecture,enseigne,Matiere_Geometrie_Analytique
Parcours_Economie_et_Management_de_Projet,enseigne,Matiere_Organisation
Parcours_Genie_Civil_et_Architecture,enseigne,Matiere_Mecanique_analytique
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,necessite,Prerequis_Baccalaureat_serie_S
Parcours_Tourisme_Environnement_et_Hotellerie,necessite,Prerequis_Baccalaureat_serie_C
Etudiant_P00327,aCentreInteret,Interet_Debat_et_droit
Parcours_Commerce_et_Administration_des_Affaires,enseigne,Matiere_Gestion_budgetaire
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,enseigne,Matiere_Informatique_Quantique
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,prepareA,Metier_Expert_en_reseaux_de_transmission_et_nouveaux_medias
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,necessite,Prerequis_Baccalaureat_serie_S
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Thermo_physique
Etudiant_P01517,estOrienteVers,Parcours_Pharmacologie_et_Industries_Pharmaceutiques
Parcours_Genie_Civil_et_Architecture,enseigne,Matiere_Route
Parcours_Agriculture_et_Elevage,enseigne,Matiere_Microbiologie
Etudiant_P00564,possede,Competence_esprit_d_analyse
Etudiant_P01509,prefere,Matiere_Physique_Chimie
Parcours_Droit_et_Techniques_Juridiques_des_Affaires,prepareA,Metier_Expert_en_contentieux_d_affaires_Agent_de_recouvrement
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,developpe,Competence_Controle_qualite_reglementation_et_pharmacotechnie
Parcours_Agriculture_et_Elevage,enseigne,Matiere_Agronomie
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,prepareA,Metier_Directeur_artistique_numerique_Motion_Designer
Parcours_Electromecanique_et_Informatique_Industrielle,developpe,Competence_Expertise_en_electronique_de_puissance_et_microcontroleurs
Parcours_Finances_et_Comptabilite,prepareA,Metier_Controleur_de_gestion
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_Informatique_Decisionnelle
Etudiant_P01117,possede,Competence_perseverance
Parcours_Electromecanique_et_Informatique_Industrielle,enseigne,Matiere_Ouvrage_metallique
Parcours_Finances_et_Comptabilite,enseigne,Matiere_Economie_rurale
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Biochimie
Parcours_Commerce_et_Administration_des_Affaires,enseigne,Matiere_Economie
Parcours_Economie_et_Management_de_Projet,enseigne,Matiere_Economie_bleu
Etudiant_P01233,prefere,Matiere_Histoire_Geo
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Bacteriologie
Parcours_Droit_et_Techniques_Juridiques_des_Affaires,enseigne,Matiere_Droit_de_la_concurrence
Parcours_Tourisme_Environnement_et_Hotellerie,enseigne,Matiere_Allemand
Etudiant_P00860,prefere,Matiere_EPS
Etudiant_P01233,prefere,Matiere_Malgache
Etudiant_P00452,possede,Competence_aisance_relationnelle
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Genetique
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_Capteurs
Etudiant_P00014,aCentreInteret,Interet_Bricolage
Etudiant_P01555,possede,Competence_creativite
Parcours_Droit_et_Techniques_Juridiques_des_Affaires,enseigne,Matiere_Droit_de_la_procedure_collective
Competence_Comptabilite_financiere,estRequisePour,Metier_Chef_Comptable
Parcours_Economie_et_Management_de_Projet,prepareA,Metier_Consultant_en_management_et_developpement
Parcours_Industries_Agroalimentaires,necessite,Prerequis_Baccalaureat_serie_D
Parcours_Droit_et_Techniques_Juridiques_des_Affaires,prepareA,Metier_Conseiller_juridique_en_entreprise_Juriste_d_affaires
Parcours_Industries_Chimiques_Minieres_et_Petrolieres,developpe,Competence_Maitrise_des_procedes_de_genie_chimique_et_industriel
Parcours_Tourisme_Environnement_et_Hotellerie,enseigne,Matiere_Art_culinaire
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,enseigne,Matiere_Pascal
Etudiant_P00014,possede,Competence_aisance_relationnelle
