profil_id,age,sexe,region,voie_bac,serie_bac,domaine_technique_bac,moyenne_generale,note_mathematiques,note_physique_chimie,note_svt,note_francais,note_malgache,note_anglais,note_histoire_geo,note_philosophie,note_economie,note_informatique,note_arts,note_eps,matieres_preferees,competences_declarees,centres_interet,activites_projets,preferences_professionnelles,environnement_travail_recherche,mention_recommandee,parcours_recommande,parcours_recommande_nom,profil_ambigu,parcours_alternatif_plausible
P00011,20,M,Menabe,Professionnel et technique,EN,Industriel,14.47,13.8,18.4,13.1,14.9,12.0,12.3,14.6,14.8,13.8,18.3,15.4,12.3,Arts; Francais; Informatique; Physique_Chimie,"traitement du signal et automatique; administration de réseaux (GSM, TCP/IP); sens de l'organisation; robotique et domotique; sens de l'observation",Robotique; Lecture,a suivi un tutoriel en ligne de programmation et créé un petit site web personnel; a créé un compte de jeu vidéo compétitif et anime une petite communauté en ligne; participe à des activités associatives ou de bénévolat,Spécialiste en robotique et domotique; contribuer au développement de Madagascar,Bureau/Numérique,Informatique et Télécommunications,ESIIA,"Électronique, Systèmes Informatiques et Intelligence Artificielle",False,
P00012,20,F,Itasy,Professionnel et technique,TOM,Industriel,10.82,11.7,9.7,11.5,7.4,14.1,11.4,9.5,10.2,12.2,10.6,8.6,13.0,EPS; Economie; Malgache,curiosité; esprit d'analyse; esprit d'équipe; maintenance industrielle pluridisciplinaire; électronique de puissance,Industrie; Bénévolat associatif,a démonté et réparé des appareils électroménagers ou mécaniques par curiosité; participe à des activités associatives ou de bénévolat,Ingénieur en automatisation et robotique industrielle; contribuer au développement de Madagascar,Atelier/Industriel,Génie Industriel,EMII,Électromécanique et Informatique Industrielle,False,
P00013,17,F,Ihorombe,Professionnel et technique,TAG,Agricole,11.46,14.0,5.6,10.3,10.6,13.6,12.3,10.7,11.9,12.2,11.9,12.1,12.3,Anglais; EPS; Economie; Malgache; Mathematiques,rigueur; gestion financière prévisionnelle; esprit d'analyse; autonomie; analyse économique et économétrie; sens de l'observation,Entrepreneuriat; Économie; Musique,gère les comptes d'une association d'élèves,Planificateur stratégique,Contact clientèle/Relationnel,Droit et Techniques des Affaires,EMP,Économie et Management de Projet,False,
P00014,20,M,Haute Matsiatra,Professionnel et technique,TAG,Agricole,12.12,12.2,12.2,10.8,13.2,11.0,12.9,13.6,11.3,12.9,13.1,10.2,12.1,Anglais; Economie; Francais; Histoire_Geo; Informatique,esprit d'équipe; développement rural; productions végétales et animales; créativité; persévérance,Santé; Agriculture; Lecture,a réalisé un exposé scolaire sur la santé ou la biologie; aide régulièrement dans l'exploitation agricole familiale,Responsable de production animale; Ingénieur Agronome,Laboratoire/Recherche,Biotechnologie et Agronomie,AEE,Agriculture et Élevage,False,
P00015,19,M,Atsinanana,Professionnel et technique,EN,Industriel,11.9,12.4,11.6,10.3,11.8,11.0,12.1,13.9,11.0,13.5,13.8,12.0,9.4,Economie; Histoire_Geo; Informatique; Mathematiques,aisance relationnelle; notions d'intelligence artificielle; autonomie,Jeux vidéo,a monté et dépanné des ordinateurs pour son entourage; a suivi un tutoriel en ligne de programmation et créé un petit site web personnel,Architecte logiciel; Développeur Full-Stack (Web & Mobile); avoir un métier stable,Mixte/Itinérant,Informatique et Télécommunications,IGGLIA,"Informatique de Gestion, Génie Logiciel et Intelligence Artificielle",False,
P00016,17,F,Diana,Professionnel et technique,TAG,Agricole,13.58,10.8,12.2,19.1,15.1,10.0,13.2,13.5,12.2,13.1,13.3,16.4,14.1,Arts; EPS; Francais; SVT,agroécologie et agriculture biologique; créativité; autonomie,Environnement; Bénévolat associatif,s'occupe d'un petit élevage ou d'un jardin potager; aide régulièrement dans l'exploitation agricole familiale,Responsable de production animale,Laboratoire/Recherche,Biotechnologie et Agronomie,AEE,Agriculture et Élevage,False,
P00017,18,M,Analanjirofo,Professionnel et technique,CG,Tertiaire,11.55,10.1,11.1,11.4,14.5,11.9,12.8,12.2,11.1,13.2,10.4,10.3,9.6,Anglais; Francais; Histoire_Geo; Malgache,management hôtelier et restauration; esprit d'analyse; sens de l'observation,Voyage; Gastronomie,a effectué un stage d'observation dans un hôtel ou une agence de voyage; aime cuisiner et découvrir des plats d'autres cultures,Directeur d'établissement hôtelier; Chef de produit touristique; contribuer au développement de Madagascar,Mixte/Itinérant,Tourisme,TEH,"Tourisme, Environnement et Hôtellerie",False,
P00018,20,M,Analamanga,Général,S,,6.76,10.1,6.6,4.0,5.6,9.5,7.3,7.3,7.7,7.4,5.6,5.4,4.6,Economie; Malgache; Mathematiques; Philosophie,gestion de production industrielle; aisance relationnelle; maintenance industrielle pluridisciplinaire; curiosité,Industrie; Lecture,a démonté et réparé des appareils électroménagers ou mécaniques par curiosité; a participé à un club de robotique ou de modélisme,Ingénieur en bureau d'études mécanique,Atelier/Industriel,Génie Industriel,EMII,Électromécanique et Informatique Industrielle,False,
P00019,20,F,Atsimo-Atsinanana,Professionnel et technique,CCBTP,Génie civil / BTP,11.99,12.5,14.7,10.6,8.3,10.6,9.5,12.5,14.5,14.4,10.8,12.9,12.6,Economie; Philosophie; Physique_Chimie,calcul de structures (RDM); sens de l'organisation; sens de l'observation; persévérance,Urbanisme; Bénévolat associatif,a visité un chantier de construction dans le cadre d'un stage d'observation,Ingénieur en Bureau d'Études; contribuer au développement de Madagascar,Chantier/BTP,Génie Civil et Architecture,GCA,Génie Civil et Architecture,True,
P00020,18,M,Atsimo-Atsinanana,Général,S,,13.27,13.4,14.9,8.9,12.7,13.8,16.7,14.3,13.3,11.8,13.0,12.4,14.0,Anglais; EPS; Histoire_Geo; Physique_Chimie,rigueur; connaissance du patrimoine environnemental et culturel malgache; aisance relationnelle; esprit d'analyse; sensibilisation au tourisme durable,Cultures du monde; Musique,aime cuisiner et découvrir des plats d'autres cultures,Chargé de valorisation touristique et environnementale; Professionnel du secteur du tourisme,Mixte/Itinérant,Tourisme,TEE,Tourisme et Environnement,False,
P00021,18,M,Alaotra-Mangoro,Professionnel et technique,TAMB,Industriel,10.66,12.4,10.4,7.2,13.8,12.3,7.9,9.7,15.7,10.2,9.6,10.5,8.2,Francais; Mathematiques; Philosophie,gestion des litiges commerciaux; esprit d'analyse; curiosité; aisance relationnelle,Entrepreneuriat; Réseaux sociaux,a participé à un club de débat ou un simulacre de procès au lycée; s'intéresse à l'actualité économique et suit des chaînes d'information,Responsable des ressources humaines (volet juridique),Contact clientèle/Relationnel,Droit et Techniques des Affaires,DTJA,Droit et Techniques Juridiques des Affaires,False,
P00022,17,F,Diana,Technologique,TGC,Génie civil,9.55,10.3,11.7,7.9,8.3,12.7,7.0,7.3,12.1,7.9,6.9,8.6,13.9,EPS; Malgache; Mathematiques; Philosophie; Physique_Chimie,curiosité; rigueur; conception architecturale (AutoCAD/ArchiCAD); sens de l'observation; gestion de chantier; sens de l'organisation,Architecture; Dessin et design; Lecture,a visité un chantier de construction dans le cadre d'un stage d'observation; a occupé un petit job ou une activité rémunérée pendant les vacances,Conducteur de travaux,Chantier/BTP,Génie Civil et Architecture,GCA,Génie Civil et Architecture,False,
P00023,17,M,Analamanga,Général,S,,10.09,13.0,10.9,11.3,6.7,9.6,7.3,9.9,11.1,9.6,11.3,9.0,11.4,EPS; Mathematiques; SVT,curiosité; rigueur; aisance relationnelle; gestion de laboratoire d'analyses médicales; autonomie,Environnement; Animaux,a participé à un club de sciences naturelles ou d'écologie; a réalisé un exposé scolaire sur la santé ou la biologie; pratique un sport en club depuis plusieurs années,Responsable contrôle qualité; Chercheur en phyto-médicaments,Terrain/Extérieur,Biotechnologie et Agronomie,PIP,Pharmacologie et Industries Pharmaceutiques,False,
P00024,18,M,Vakinankaratra,Professionnel et technique,TPFM,Industriel,8.53,10.7,8.8,9.6,8.0,7.7,8.4,9.0,7.9,10.3,9.0,8.2,4.8,Economie; Mathematiques; SVT,créativité; sens de l'organisation; aisance relationnelle; esprit d'équipe; gestion de trésorerie; comptabilité générale et analytique; audit financier,Débat et droit; Sport,a organisé une petite activité commerciale ou un projet associatif; gère les comptes d'une association d'élèves; a occupé un petit job ou une activité rémunérée pendant les vacances,Chef Comptable,Bureau/Numérique,Droit et Techniques des Affaires,FIC,Finances et Comptabilité,False,
P00025,18,F,Bongolava,Général,A1,,13.6,11.1,10.4,11.3,15.0,16.3,16.2,12.8,12.0,17.0,14.6,13.6,12.9,Anglais; Economie; Malgache,rigueur; curiosité; esprit d'analyse; conception de produits touristiques,Gastronomie; Langues étrangères; Sport,pratique l'anglais ou une autre langue étrangère en autodidacte; a effectué un stage d'observation dans un hôtel ou une agence de voyage; a occupé un petit job ou une activité rémunérée pendant les vacances,Organisateur d'événements (MICE); Directeur d'établissement hôtelier; contribuer au développement de Madagascar,Mixte/Itinérant,Tourisme,TEH,"Tourisme, Environnement et Hôtellerie",False,
P00026,17,F,Vakinankaratra,Technologique,TGC,Génie civil,11.2,10.6,14.7,10.2,11.3,12.1,12.1,8.5,9.4,9.1,12.0,12.1,12.3,Anglais; Arts; EPS; Malgache; Physique_Chimie,géotechnique; calcul de structures (RDM); ingénierie des infrastructures routières et hydrauliques; aisance relationnelle; curiosité,Urbanisme; Architecture,a réalisé des maquettes ou des plans de construction pour un projet scolaire; aime dessiner des plans de maisons ou des croquis d'aménagement; pratique un sport en club depuis plusieurs années,Urbaniste; travailler à l'international,Chantier/BTP,Génie Civil et Architecture,GCA,Génie Civil et Architecture,True,
P00027,19,M,Analanjirofo,Général,C,,10.72,11.7,9.7,16.8,11.0,8.0,10.3,9.1,9.9,11.2,10.1,10.5,10.4,Economie; Francais; Mathematiques; SVT,rigueur; productions végétales et animales; agroécologie et agriculture biologique; esprit d'analyse; sens de l'observation; esprit d'équipe,Agriculture; Bénévolat associatif,aide régulièrement dans l'exploitation agricole familiale,Ingénieur Agronome,Laboratoire/Recherche,Biotechnologie et Agronomie,AEE,Agriculture et Élevage,False,
P00028,19,F,Melaky,Professionnel et technique,TPFM,Industriel,11.12,11.8,14.5,14.2,9.6,11.0,9.7,10.3,9.8,11.7,11.1,8.5,11.3,Mathematiques; Physique_Chimie; SVT,rigueur; raffinage et pétrochimie; esprit d'équipe; sens de l'observation; persévérance,Bricolage; Musique,a effectué un stage d'observation dans un atelier ou une usine; pratique un sport en club depuis plusieurs années,Responsable HSE,Atelier/Industriel,Génie Industriel,ICMP,"Industries Chimiques, Minières et Pétrolières",False,
P00029,18,M,Fitovinany,Professionnel et technique,EN,Industriel,9.24,9.9,11.8,9.9,8.6,7.1,8.1,8.9,8.1,10.2,10.0,9.9,8.4,Economie; Francais; Informatique; Mathematiques,sens de l'observation; curiosité; robotique et domotique; aisance relationnelle; traitement du signal et automatique; autonomie,Réseaux sociaux et numérique; Lecture,a participé à un club informatique ou de robotique au lycée; a suivi un tutoriel en ligne de programmation et créé un petit site web personnel; participe à des activités associatives ou de bénévolat,Spécialiste en maintenance de systèmes informatisés,Mixte/Itinérant,Informatique et Télécommunications,ESIIA,"Électronique, Systèmes Informatiques et Intelligence Artificielle",False,
P00030,19,M,Sava,Professionnel et technique,TMA,Industriel,13.89,14.6,14.9,11.5,12.4,15.1,12.0,14.8,13.4,14.8,17.2,11.9,14.1,Informatique; Malgache; Physique_Chimie,sens de l'organisation; administration de bases de données; esprit d'équipe; rigueur,Réseaux sociaux et numérique; Bénévolat associatif,a suivi un tutoriel en ligne de programmation et créé un petit site web personnel; a participé à un club informatique ou de robotique au lycée,Développeur Full-Stack (Web & Mobile),Mixte/Itinérant,Informatique et Télécommunications,IGGLIA,"Informatique de Gestion, Génie Logiciel et Intelligence Artificielle",False,
P00031,19,F,Boeny,Général,C,,15.37,10.8,16.3,15.6,17.7,15.0,17.3,14.4,13.4,13.6,18.8,16.7,14.8,Anglais; Francais; Informatique,"conception logicielle (UML, Merise); esprit d'analyse; rigueur; persévérance; notions d'intelligence artificielle; aisance relationnelle",Réseaux sociaux et numérique,a monté et dépanné des ordinateurs pour son entourage,Webmaster; Spécialiste en communication digitale / Community Manager; contribuer au développement de Madagascar,Mixte/Itinérant,Informatique et Télécommunications,IMTICIA,"Informatique Multimédia, Technologie de l'Information et de la Communication et Intelligence Artificielle",True,IGGLIA
P00032,18,M,Androy,Professionnel et technique,EN,Industriel,9.22,11.3,16.1,7.4,8.6,8.9,9.0,8.9,7.9,8.9,6.7,8.8,8.2,Informatique; Mathematiques; Physique_Chimie,curiosité; électronique de puissance; aisance relationnelle,Automobile et aéronautique; Électronique,a participé à un club de robotique ou de modélisme; a effectué un stage d'observation dans un atelier ou une usine; participe à des activités associatives ou de bénévolat,Responsable de production en usine,Terrain/Extérieur,Génie Industriel,EMII,Électromécanique et Informatique Industrielle,False,
P00033,18,M,Ihorombe,Professionnel et technique,ACTC,Tertiaire,11.24,10.9,12.4,9.1,12.0,9.9,12.7,13.8,11.0,8.3,12.0,12.4,10.4,Anglais; Francais; Histoire_Geo; Physique_Chimie,gestion environnementale de sites touristiques; rigueur; curiosité; persévérance,Gastronomie,pratique l'anglais ou une autre langue étrangère en autodidacte; a organisé un voyage ou un événement pour son groupe d'amis; pratique un sport en club depuis plusieurs années,Manager d'agence de voyage; Gestionnaire de sites protégés; contribuer au développement de Madagascar,Mixte/Itinérant,Tourisme,TEH,"Tourisme, Environnement et Hôtellerie",False,
P00034,20,F,Analanjirofo,Professionnel et technique,TOM,Industriel,10.77,10.7,8.0,11.2,10.3,12.3,13.1,9.0,9.2,14.4,9.1,11.0,10.9,Anglais; Economie; Malgache; SVT,curiosité; esprit d'analyse; audit financier; sens de l'observation; rigueur,Économie; Lecture,a organisé une petite activité commerciale ou un projet associatif; participe à des activités associatives ou de bénévolat,Contrôleur de gestion,Contact clientèle/Relationnel,Droit et Techniques des Affaires,FIC,Finances et Comptabilité,False,
P00035,17,M,Amoron'i Mania,Général,L,,11.18,13.9,13.2,12.9,11.7,10.9,10.8,12.8,9.9,9.5,10.0,7.8,10.7,Histoire_Geo; Mathematiques; SVT,sens de l'observation; sens de l'organisation; esprit d'équipe; management stratégique; gestion financière prévisionnelle,Actualité et politique; Lecture,s'intéresse à l'actualité économique et suit des chaînes d'information; gère les comptes d'une association d'élèves; participe à des activités associatives ou de bénévolat,Analyste économique; Responsable suivi-évaluation de projets,Contact clientèle/Relationnel,Droit et Techniques des Affaires,EMP,Économie et Management de Projet,False,
P00036,20,F,Bongolava,Professionnel et technique,DAMB,Industriel,12.08,11.6,11.1,9.4,12.0,11.4,14.3,15.6,12.7,11.0,13.6,9.6,12.7,Anglais; EPS; Histoire_Geo; Informatique; Philosophie,rigueur; curiosité; connaissance du patrimoine environnemental et culturel malgache; aisance relationnelle; esprit d'analyse; sensibilisation au tourisme durable,Cultures du monde,a effectué un stage d'observation dans un hôtel ou une agence de voyage; pratique l'anglais ou une autre langue étrangère en autodidacte,Professionnel du secteur du tourisme,Mixte/Itinérant,Tourisme,TEE,Tourisme et Environnement,False,
P00037,18,F,Androy,Professionnel et technique,TAMB,Industriel,10.19,11.2,11.8,10.6,11.4,11.1,8.0,9.5,8.4,9.1,9.4,11.1,10.7,Francais; Mathematiques; Physique_Chimie,sens de l'observation; hygiène sécurité environnement (HSE); aisance relationnelle; autonomie; génie des procédés chimiques; raffinage et pétrochimie,Bricolage,aide régulièrement à l'entretien de véhicules en famille; a occupé un petit job ou une activité rémunérée pendant les vacances,Responsable HSE; Ingénieur pétrolier,Atelier/Industriel,Génie Industriel,ICMP,"Industries Chimiques, Minières et Pétrolières",False,
P00038,18,F,Haute Matsiatra,Professionnel et technique,TFFI,Industriel,12.18,12.9,12.7,9.8,12.5,12.4,12.4,13.0,12.2,10.7,15.4,12.4,9.8,Francais; Histoire_Geo; Informatique; Mathematiques; Physique_Chimie,"conception logicielle (UML, Merise); autonomie; persévérance; esprit d'analyse; sens de l'observation",Robotique; Réseaux sociaux,a participé à un club informatique ou de robotique au lycée; a monté et dépanné des ordinateurs pour son entourage; a occupé un petit job ou une activité rémunérée pendant les vacances,Chef de projet informatique,Mixte/Itinérant,Informatique et Télécommunications,IGGLIA,"Informatique de Gestion, Génie Logiciel et Intelligence Artificielle",False,
P00039,18,M,Betsiboka,Professionnel et technique,TMEL,Industriel,7.92,7.0,8.5,8.1,8.8,7.5,9.6,8.0,6.2,9.1,6.0,9.1,7.1,Arts; Economie; Francais; SVT,gestion environnementale de sites touristiques; sensibilisation au tourisme durable; aisance relationnelle; esprit d'analyse; créativité,Cultures du monde; Langues étrangères; Sport,pratique l'anglais ou une autre langue étrangère en autodidacte; aime cuisiner et découvrir des plats d'autres cultures; participe à des activités associatives ou de bénévolat,Manager d'agence de voyage; travailler à l'international,Mixte/Itinérant,Tourisme,TEH,"Tourisme, Environnement et Hôtellerie",True,TEE
P00040,18,F,Sava,Professionnel et technique,TAMB,Industriel,17.75,18.6,14.8,18.5,18.4,18.7,17.2,20,19.3,17.6,15.1,17.6,17.2,Histoire_Geo; Mathematiques; Philosophie,droit foncier et minier; curiosité; rédaction d'actes juridiques; esprit d'analyse; droit des contrats et des sociétés,Débat et droit; Réseaux sociaux,gère les comptes d'une association d'élèves,Expert en contentieux d'affaires,Contact clientèle/Relationnel,Droit et Techniques des Affaires,DTJA,Droit et Techniques Juridiques des Affaires,False,
P00041,18,M,Sofia,Général,L,,13.12,15.6,9.0,15.3,10.8,11.6,13.4,13.7,11.8,16.4,14.4,12.7,12.7,Economie; Informatique; Mathematiques,rigueur; fiscalité d'entreprise; esprit d'analyse; esprit d'équipe; gestion de trésorerie; sens de l'observation,Gestion; Réseaux sociaux,a organisé une petite activité commerciale ou un projet associatif,Trésorier d'entreprise,Contact clientèle/Relationnel,Droit et Techniques des Affaires,FIC,Finances et Comptabilité,False,
P00042,18,M,Vatovavy,Général,S,,9.64,9.9,9.0,10.5,9.4,10.6,11.1,7.0,10.6,11.9,7.8,9.2,8.7,Anglais; Economie; Malgache; Philosophie,"traitement du signal et automatique; persévérance; administration de réseaux (GSM, TCP/IP); sens de l'organisation; aisance relationnelle; esprit d'équipe",Réseaux sociaux et numérique; Robotique; Lecture,a participé à un club informatique ou de robotique au lycée; a monté et dépanné des ordinateurs pour son entourage,Ingénieur en télécommunications; Expert en systèmes embarqués et IoT,Mixte/Itinérant,Informatique et Télécommunications,ESIIA,"Électronique, Systèmes Informatiques et Intelligence Artificielle",False,
P00043,18,F,Sofia,Professionnel et technique,DAMB,Industriel,11.47,14.9,10.2,9.2,13.7,11.0,13.0,11.7,8.7,10.0,12.7,12.8,9.8,Anglais; Arts; Francais; Informatique; Mathematiques,rigueur; créativité; sens de l'organisation; persévérance; analyse statistique et probabilités appliquées,Jeux vidéo; Réseaux sociaux,a créé un compte de jeu vidéo compétitif et anime une petite communauté en ligne,Statisticien financier; Data Analyst,Bureau/Numérique,Informatique et Télécommunications,ISAIA,"Informatique, Statistique Appliquée et Intelligence Artificielle",True,IGGLIA
P00044,18,M,Amoron'i Mania,Professionnel et technique,TAMB,Industriel,15.62,17.7,19.1,11.7,13.5,17.1,12.8,15.5,16.8,15.6,18.1,15.6,14.0,Informatique; Mathematiques; Physique_Chimie,"automatismes (Grafcet, automates); maintenance industrielle pluridisciplinaire; esprit d'équipe; sens de l'organisation; persévérance; gestion de production industrielle",Électronique; Bénévolat associatif,a participé à un club de robotique ou de modélisme; a démonté et réparé des appareils électroménagers ou mécaniques par curiosité,Concepteur de systèmes IoT industriels; Ingénieur en électrotechnique; contribuer au développement de Madagascar,Atelier/Industriel,Génie Industriel,EMII,Électromécanique et Informatique Industrielle,False,
P00045,18,M,Vatovavy,Général,S,,13.45,14.6,14.6,17.8,12.9,15.1,13.8,12.3,12.6,12.4,11.3,10.7,13.3,Anglais; Malgache; Mathematiques; Physique_Chimie; SVT,formulation pharmaceutique; aisance relationnelle; transformation agroalimentaire; créativité; autonomie; sens de l'observation; phytochimie,Environnement; Animaux,aide régulièrement dans l'exploitation agricole familiale,Consultant qualité,Terrain/Extérieur,Biotechnologie et Agronomie,IAA,Industries Agroalimentaires,True,PIP
P00046,20,F,Melaky,Général,C,,12.05,13.4,9.0,12.4,13.7,13.4,14.4,9.8,12.7,11.5,10.2,13.2,10.9,Anglais; Francais; Malgache; Mathematiques,sens de l'observation; curiosité; conception assistée par ordinateur (AutoCAD); rigueur,Mécanique; Sport,a démonté et réparé des appareils électroménagers ou mécaniques par curiosité,Ingénieur en maintenance industrielle; Responsable de production en usine,Atelier/Industriel,Génie Industriel,EMII,Électromécanique et Informatique Industrielle,False,
P00047,18,F,Alaotra-Mangoro,Technologique,TTER,Tertiaire,6.17,11.2,3.7,8.0,7.2,5.2,5.1,4.0,3.9,9.4,5.4,6.8,4.2,Economie; Francais; Mathematiques; SVT,esprit d'équipe; gestion de trésorerie; créativité; fiscalité d'entreprise; audit financier,Économie,a organisé une petite activité commerciale ou un projet associatif; s'intéresse à l'actualité économique et suit des chaînes d'information; pratique un sport en club depuis plusieurs années,Contrôleur de gestion,Bureau/Numérique,Droit et Techniques des Affaires,FIC,Finances et Comptabilité,False,
P00048,18,M,Betsiboka,Général,S,,11.92,15.5,13.9,12.6,11.5,10.3,13.6,10.8,9.6,11.1,11.6,10.4,12.1,Anglais; Arts; Mathematiques; SVT,"administration de bases de données; programmation multi-langages (Java, C#, PHP, JavaScript); aisance relationnelle; gestion de projets informatiques; curiosité",Jeux vidéo; Robotique; Réseaux sociaux,a participé à un club informatique ou de robotique au lycée; a suivi un tutoriel en ligne de programmation et créé un petit site web personnel; a occupé un petit job ou une activité rémunérée pendant les vacances,Statisticien financier,Mixte/Itinérant,Informatique et Télécommunications,ISAIA,"Informatique, Statistique Appliquée et Intelligence Artificielle",True,IGGLIA
